Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
h;newton_raphson.hpp;47;1.8069438934326172;0-6;Random bit-flip;0
delta;newton_raphson.hpp;46;1.4901115894317627;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.1671524047851562;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.8040401935577393;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.9153017997741699;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.620591163635254;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.7926957607269287;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.965857982635498;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.5932440757751465;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;2.278115749359131;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.6699492931365967;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.6482822895050049;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.3508551120758057;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.5543713569641113;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.5773391723632812;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.6756722927093506;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.2351398468017578;0-6;Random bit-flip;0
eps;newton_raphson.hpp;46;0.6742203235626221;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.6456208229064941;0-6;Random bit-flip;0
user_entry;../elf/dl-sysdep.c;91;0.40801024436950684;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.2192537784576416;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.8838162422180176;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;1.8633558750152588;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.0458931922912598;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.401991844177246;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.9789345264434814;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.1763339042663574;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.9234538078308105;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;0.5808498859405518;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.340813159942627;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;1.1154286861419678;0-6;Random bit-flip;0
eps;newton_raphson.hpp;46;1.7739696502685547;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.8943240642547607;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.5852906703948975;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;0.6923863887786865;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.3609912395477295;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;0.9893882274627686;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.0265483856201172;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.4245283603668213;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;0.5785665512084961;0-6;Random bit-flip;0
df_x;newton_raphson.hpp;58;0.8541293144226074;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.44966959953308105;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;0.6605195999145508;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.029383897781372;0-6;Random bit-flip;0
found_root;newton_raphson.hpp;54;0.5168228149414062;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.5949339866638184;0-6;Random bit-flip;0
df_x;newton_raphson.hpp;58;1.5823442935943604;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;0.7342050075531006;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.1497111320495605;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.5142238140106201;0-6;Random bit-flip;0
df_x;newton_raphson.hpp;58;1.2534599304199219;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;0.9506511688232422;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;0.3313291072845459;0-6;Random bit-flip;0
found_root;newton_raphson.hpp;54;1.3878567218780518;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.5338528156280518;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.2516508102416992;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.103078842163086;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;1.484907865524292;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;1.4995670318603516;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.3326315879821777;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.9575150012969971;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.14841628074646;0-6;Random bit-flip;0
found_root;newton_raphson.hpp;54;0.7897589206695557;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.8718345165252686;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.7048275470733643;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.8114762306213379;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.0682258605957031;0-6;Random bit-flip;0
__GI__dl_argv;rtld.c;83;0.3676745891571045;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.8266391754150391;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;0.5625162124633789;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;0.6315107345581055;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;2.437406063079834;0-6;Random bit-flip;0
